planted_z,recovered_z,depth_err_pct,planted_r,recovered_r,radius_err_pct
-61.92976379394531,-62.046066784663125,0.18779821461095805,8.0,8.008770751953126,0.10963439941407138
-61.92976379394531,-62.01741980118356,0.1415410004305789,14.0,13.988135147094741,0.08474894932327512
-61.92976379394531,-61.89422765067556,0.05738136413371293,20.0,20.002409212291226,0.012046061456132406
-38.030059814453125,-38.10951445227491,0.20892588181411895,8.0,8.009561157226566,0.11951446533207122
-38.030059814453125,-37.92413825057914,0.2785206344422561,14.0,14.002423095703136,0.017307826450974062
-38.030059814453125,-38.07602564893417,0.12086711066274972,20.0,19.992823281884185,0.03588359057907553
-14.130355834960938,-14.200455060717628,0.49608960011645997,8.0,8.022869873046865,0.28587341308581316
-14.130355834960938,-14.05916192957806,0.5038366069078825,14.0,13.986086654663147,0.09938103812037827
-14.130355834960938,-14.163160284586315,0.23215586364933263,20.0,20.00177819728845,0.008890986442242621
